pd,pb
3.266921184502749598e-01,4.344758958983552244e-01
3.401781303322649608e-01,4.512158829417827199e-01
3.579985710894270645e-01,5.119172330658720016e-01
2.148285387203616170e-01,2.306394406402045849e-01
2.053571218605516890e-01,2.116284413278088916e-01
2.893572133495683762e-01,3.504096248224283228e-01
2.925725918095924416e-01,3.613156259787794755e-01
1.502556279031541375e-01,1.357159531695724675e-01
5.044120871239836379e-02,1.727239045194429307e-02
5.044120871239836379e-02,1.727239045194429307e-02
8.456740161081602314e-02,6.210039499007656560e-02
2.003009963365312007e-01,2.002949915501238409e-01
2.228862911481029607e-01,2.427647391203937022e-01
2.104155118248050016e-01,2.325251328228295777e-01
5.361148571065131596e-02,2.871704529490223118e-02
1.593961244374615394e-01,1.482103049365220415e-01
2.328242090486184745e-01,2.535384563294331706e-01
2.408669450055870298e-01,2.718861216284927940e-01
1.437153551135355034e-01,1.263467304586459727e-01
2.402256332722529919e-01,2.825020484366906892e-01
2.138881604029669314e-01,2.224083519442091039e-01
1.558856320456140088e-01,1.422987799179472879e-01
4.337491118697355680e-02,1.588239992142559398e-02
1.937183958127127181e-01,1.934836401637993752e-01
2.118311200618222534e-01,2.355533970925215437e-01
1.594828793468464623e-01,1.501520032108326907e-01
1.122462520842674449e-01,8.957648314867967809e-02
2.658757687600934450e-01,3.173794345825867169e-01
1.697257328478529725e-01,1.604258231825184677e-01
1.696906862234960900e-01,1.651448356443745991e-01
2.561098674523035190e-01,2.921839900293977665e-01
2.763186533144224022e-01,3.299782983636258549e-01
3.600369479941178397e-01,5.015752323210258545e-01
4.435857184787360685e-01,7.355646860855636904e-01
4.518504759287348405e-01,7.607714623505024143e-01
4.222456835103518547e-01,6.631722548709676479e-01
3.813289051298292542e-01,5.786783824258634468e-01
