pd,pb
2.304643835443262179e-01,2.521325768629430475e-01
1.699736843276474230e-01,1.593180354432691959e-01
1.246582485560525505e-01,1.033196217250192395e-01
1.434605573561416603e-01,1.270286165197133943e-01
2.400354963241942974e-01,2.812549220945785300e-01
3.229688302037591607e-01,4.196281250768199578e-01
2.949215291054451127e-01,3.625353963984658812e-01
2.438063204852232158e-01,2.675045200690212566e-01
1.124003777441431179e-01,8.683804201615438756e-02
2.100121797466764362e-01,2.370246688496761289e-01
1.268359748677049537e-01,1.108950971783030787e-01
1.131765609528520566e-01,8.926957635356533305e-02
1.139468813708688771e-01,9.022895521693027887e-02
3.244502895462072350e-02,2.379562978247484750e-03
1.161790563004471422e-01,9.167463049447474588e-02
1.534111596976847902e-01,1.398337154819954131e-01
2.409889496193287350e-01,2.697806215639277361e-01
2.725777370858473159e-01,3.318609099086941017e-01
3.220208655976546930e-01,4.182765427549862136e-01
2.404102937465533718e-01,2.692374523535353559e-01
1.492947073397044022e-01,1.274098980081206645e-01
1.316381302354502902e-01,1.087244480588084039e-01
1.986872510741787834e-01,2.036885976923316355e-01
9.583314219626555552e-02,7.345130212745469567e-02
1.576351157958771620e-01,1.498461587640316783e-01
1.342155065519800017e-01,1.128980530706926860e-01
1.517646169393219169e-01,1.349550847823287325e-01
1.685672305333170973e-01,1.685733425365860960e-01
1.599271061744320377e-01,1.489839552462533523e-01
1.441445035783732731e-01,1.230515982677690412e-01
1.300487047204600954e-01,1.030788019032243680e-01
1.865151101030423919e-01,1.858569805358114280e-01
1.652584331166634668e-01,1.535593139989344103e-01
1.975742061692815077e-01,2.147382987562526657e-01
1.377607657128694374e-01,1.147107276258924058e-01
1.200542330052142143e-01,1.002333800830286781e-01
2.314963617676334962e-01,2.588067836157154633e-01
2.307994425665854665e-01,2.506910769294520835e-01
2.230394506663359588e-01,2.487463096101596438e-01
2.309854762730826350e-01,2.523042448382765146e-01
1.768751472113015422e-01,1.696739044328612611e-01
1.376329736244693569e-01,1.170951265644778749e-01
1.775099954989386997e-01,1.694080738910282435e-01
1.595385228595719851e-01,1.468169980457609824e-01
2.251531972255619019e-01,2.532050903396463881e-01
2.613062683061610492e-01,2.970019966255507127e-01
2.125771437979380729e-01,2.194345534061512282e-01
2.010775459824513112e-01,2.111858217849609809e-01
3.235437349931326589e-01,4.317754707524665281e-01
3.068172994635549600e-01,4.046837826882273559e-01
3.072328110043426874e-01,3.917520341008947637e-01
2.788205497135685662e-01,3.468166081199022810e-01
3.015668550905982737e-01,3.780412580637637632e-01
3.869902153433560921e-01,5.710622377558101093e-01
4.039610234076790873e-01,6.235906277498128869e-01
4.195973918720403151e-01,6.672057303241895054e-01
3.730035435271352728e-01,5.439895924823996420e-01
4.362918912423519036e-01,7.018314115787251950e-01
4.279850457520948948e-01,6.775290175929850056e-01
4.035326346942724740e-01,6.190009599356213199e-01
4.070329235821765756e-01,6.321421318778308596e-01
3.776836878711673506e-01,5.434642431355773962e-01
3.514649580350580615e-01,4.898497470070603543e-01
2.757328800551186454e-01,3.357113050694723322e-01
3.129456818080967873e-01,4.125174911240402920e-01
3.811906116682286516e-01,5.561843809677289308e-01
3.598445281563125153e-01,5.072136995127871639e-01
3.293634372743265981e-01,4.332897871954111690e-01
2.054461579660697423e-01,2.085899407514427151e-01
2.367210294575198826e-01,2.654377514654662207e-01
2.442594981099721341e-01,2.743526203249980200e-01
1.014358044669296660e-01,9.039099054172154701e-02
1.603074887386155833e-01,1.492447629648380181e-01
2.313361613178857024e-01,2.525402124470059184e-01
3.242214107293861503e-01,4.260632879829305830e-01
2.898725652881861681e-01,3.656806433486196051e-01
2.361015489682810331e-01,2.660205392742501784e-01
5.946367267237687160e-02,2.884906216638866150e-02
1.087210603537506759e-01,8.136139639596623452e-02
1.942491777410086939e-01,1.943046278986686193e-01
9.996028426693238933e-02,6.975339549710739273e-02
1.556306011098420039e-01,1.404505173347571079e-01
9.453676278053357862e-02,6.864476995943985527e-02
1.263342092980525300e-01,1.045225859446324984e-01
2.541872402338378745e-01,2.856363414580877502e-01
2.702184630162476342e-01,3.338770153557240605e-01
3.921779872512779486e-01,5.751759379063783317e-01
3.202025478016047866e-01,4.181810835689209749e-01
3.623912676947757538e-01,5.192984042307905446e-01
3.777595662933155296e-01,5.428390617673900520e-01
3.893597604660347655e-01,5.797177369920318846e-01
3.284517071866803750e-01,4.327454171283544593e-01
3.185275303200500452e-01,4.117112183915816459e-01
2.431481882295521424e-01,2.659476482476859638e-01
4.399819203180006105e-02,1.032339147638595966e-02
8.172345917904175194e-02,5.022469367909775800e-02
1.902647935770872267e-01,1.932721354347185505e-01
2.276309657681390985e-01,2.464945815786879768e-01
2.694091147891453097e-01,3.223523074780693110e-01
3.298780935857766883e-01,4.342892503562456041e-01
2.692259350025702491e-01,3.139368075599467955e-01
2.853722109893829240e-01,3.539336969908792319e-01
2.904714765480538863e-01,3.634338090843880487e-01
2.859328876817262000e-01,3.455247709361100039e-01
2.883095363946004408e-01,3.605376559604249187e-01
2.717711991109107994e-01,3.211450383846363721e-01
2.732099735127257456e-01,3.282218238788331410e-01
2.571535691328420414e-01,3.022385963456507563e-01
2.993754892851027138e-01,3.804538669121640959e-01
3.221970414964134277e-01,4.241489910508631778e-01
2.595157230860946629e-01,3.023131634544529711e-01
1.123798423461509072e-01,8.418237935129205263e-02
1.643160683994700777e-01,1.512248542236855897e-01
1.771108152599235874e-01,1.859951786854984745e-01
9.844799515026771142e-02,7.201802887172541190e-02
1.394179951886290181e-01,1.144623671842847357e-01
2.300598400580123604e-01,2.573340196401908142e-01
3.003475431913456006e-01,3.977001835867417512e-01
3.718843196169752674e-01,5.446839901177205068e-01
3.371889503459751802e-01,4.605256111629701388e-01
2.883051835661527007e-01,3.534750668358867531e-01
1.843585659638418972e-01,1.899509817193944516e-01
6.507743839888929793e-02,3.047774534071732294e-02
2.009230666215020278e-01,2.233874812259914744e-01
2.037863757535129661e-01,2.121593462935371377e-01
1.949826261475810230e-01,1.984541032436072383e-01
2.482033177391841094e-01,2.825769441004421512e-01
1.184833622846858808e-01,1.019857759217407955e-01
1.855200512903766308e-01,1.859213586865626211e-01
2.389494171619493956e-01,2.636919471520881575e-01
1.484871665810730823e-01,1.425989038370053530e-01
1.807831344830702069e-01,1.749556372709655250e-01
1.641913006250645402e-01,1.518430051479217613e-01
2.273008248372903883e-01,2.450386167141557492e-01
1.706364196695255298e-01,1.698152134483866260e-01
1.174628101956738807e-01,9.785801731277501969e-02
1.051146015172172155e-01,9.300860492519402722e-02
5.571275088137381259e-02,2.365150252838733175e-02
1.396165307170152137e-01,1.266257675351902534e-01
7.676759886678957701e-02,4.865940786788833933e-02
1.372842875622407033e-01,1.229947143919407349e-01
1.380819674129237506e-01,1.201058027811690854e-01
5.602661407216607409e-02,3.243938235743398790e-02
1.096575955815716902e-01,8.234123944828106167e-02
1.644422294228726489e-01,1.578142306705471454e-01
2.174297538579319233e-01,2.407794068988710900e-01
1.969829327926113094e-01,1.975276918321796082e-01
2.417757824519800591e-01,2.749117519582192637e-01
1.799122952472745340e-01,1.701828317363595910e-01
2.170598159265480220e-01,2.326844433980953808e-01
2.454441018809543074e-01,2.745824807802179635e-01
3.814469280883051039e-01,5.605951295848192739e-01
3.297484839224669173e-01,4.393218602498852876e-01
2.915918028439594689e-01,3.583185223738785119e-01
3.290086829013950664e-01,4.322887605497260366e-01
2.852341490253336720e-01,3.450233346067377860e-01
1.041856516422129952e-01,7.741202423256869636e-02
1.329148942426772728e-01,1.103304537503728561e-01
1.783815171465591431e-01,1.742806861353823344e-01
2.712046470334779635e-01,3.290231255531059218e-01
2.687835173484101059e-01,3.158402968782074161e-01
2.948699654107628798e-01,3.844488509253460862e-01
3.102691858475882802e-01,3.990684926370381413e-01
3.246343877123908928e-01,4.208893641952313747e-01
3.766674295227063762e-01,5.552095994487460384e-01
4.819564810837847491e-01,8.603119025423237032e-01
4.837179719482619378e-01,8.590652962211109411e-01
5.124655275432127288e-01,9.886955551993896751e-01
5.057978062236468952e-01,9.433374284492240802e-01
4.522971416794903110e-01,7.580145373391014019e-01
4.806719412821781057e-01,8.467662046447472779e-01
4.914104965165176364e-01,8.941206249812146956e-01
4.732568662660286973e-01,8.303730119411790733e-01
4.644577611459841382e-01,7.983544029968080435e-01
4.520263110137145435e-01,7.611373888809107591e-01
4.622445589222886064e-01,7.855678935040547595e-01
